ids,company,symbol,sector,industry,market,date,openprice,highprice,lowprice,closeprice,volume,adjustedcloseprice
12246541,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-29",8.17,8.19,8.09,8.18,8200,8.20
12246542,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-28",8.04,8.25,7.83,8.25,8400,8.26
12246543,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-27",8.24,8.39,8.2,8.39,900,8.39
12246544,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-26",8.01,8.1,7.9,8.1,1100,8.1
12246545,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-25",8.38,8.5,8.14,8.38,7100,8.38
12246546,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-22",8.19,8.31,8.18,8.3,3200,8.3
12246547,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-21",8.36,8.36,8.06,8.18,5500,8.18
12246548,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-20",8.21,8.22,8.06,8.12,1600,8.12
12246549,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-19",8.18,8.18,8,8.05,600,8.05
12246550,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-18",8.07,8.11,7.91,8.1,81200,8.1
12246551,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-15",8.05,8.12,8,8.08,35700,8.08
12246552,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-14",8.03,8.25,8,8.04,65700,8.04
12246553,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-13",8.25,8.25,7.98,7.99,69800,7.99
12246554,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-12",8.15,8.28,7.64,8.28,1300,8.28
12246555,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-11",8.41,8.5,8.32,8.39,16600,8.39
12246556,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-08",8.35,8.85,8.3,8.5,3400,8.5
12246557,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-07",8.82,8.82,8.45,8.45,15300,8.45
12246558,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-06",8.79,8.9,8.76,8.82,700,8.82
12246559,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-05",8.82,9.35,8.81,9,5800,9
12246560,"012Smile.Communications Ltd. (ADR)","SMLC","Technology","Diversified Communication Services","NASDAQ","2008-08-04",9.09,9.09,9.09,9.09,0,9.09
